step,avg_stress_fixator,avg_stress_bone,avg_stress_callus,gap_strain
0,54764.402344511516,24461.948839204946,650.0632979608204,6.2103052404851974e-06
1,53502.942049903875,24535.610862913505,5632.480642921588,5.182435384944507e-06
2,52614.82399422662,24643.384649170297,9193.119262465563,4.456913550102853e-06
3,51954.62750661433,24750.181942606985,11878.792661895599,3.916648242881247e-06
4,51443.93887167374,24846.860565303814,13985.953871716014,3.498254902649921e-06
5,51036.698644460106,24931.951146075997,15689.724087099688,3.164385132924435e-06
6,50704.053146878774,25006.259173533672,17100.4371180438,2.8915815507276646e-06
7,50426.99542033599,25071.153272133924,18291.18790204574,2.664358061919881e-06
8,50192.488997274035,25128.012120634958,19312.390201569506,2.4720730387473328e-06
9,49991.290855724896,25178.059505078705,20199.9813899494,2.3071689833561184e-06
10,49816.66314232567,25222.332830395255,20980.295460876812,2.164128691993325e-06
11,49663.57702596045,25261.695906584027,21673.085826492883,2.0388290045580368e-06
12,49528.202323240286,25296.863866730197,22293.47044416272,1.9281258559359097e-06
13,49407.569893029126,25328.428785419783,22853.223352382538,1.8295793969130296e-06
14,49299.34216283333,25356.882309923945,23361.655817709794,1.7412669115837591e-06
15,49201.65340022342,25382.6345097684,23826.231918991558,1.6616524396674559e-06
16,49112.996173341024,25406.02917524456,24253.00768868339,1.589493998247697e-06
17,49032.1391234881,25427.356096519467,24646.95025597424,1.523776321409972e-06
18,48958.06641110852,25446.86088337364,25012.173666351457,1.4636612811987022e-06
19,48889.932446268365,25464.75282125399,25352.115756134357,1.4084507900121032e-06
