step,avg_stress_fixator,avg_stress_bone,avg_stress_callus,gap_strain
0,69025.2232369149,16778.24491844817,343.64061548771326,3.247129231963036e-06
1,68292.74063101776,16840.389530911732,3107.3205699824675,2.831766502153745e-06
2,67736.46966761969,16916.791592851365,5234.984587759655,2.5166229481031652e-06
3,67298.63085678876,16992.61190561809,6933.232521891234,2.2689288888840692e-06
4,66944.35915839404,17062.96141656956,8326.872390651883,2.068868514172733e-06
5,66651.3347753997,17126.604892080057,9495.970096049283,1.9037368404578845e-06
6,66404.5874251807,17183.648261046863,10494.379382113335,1.765002986173151e-06
7,66193.69062406148,17234.65669059464,11359.735235501646,1.6467205699871752e-06
8,66011.15300976418,17280.310626725863,12119.180160470087,1.5446146176994156e-06
9,65851.44954401153,17321.27331929563,12792.812901630883,1.4555308723050458e-06
10,65710.41362972118,17358.14419711986,13395.85380678928,1.377089862796913e-06
11,65584.84217842558,17391.44743768308,13940.053297707505,1.3074619534803424e-06
12,65472.23123957354,17421.634568475005,14434.636240803626,1.2452166507011444e-06
13,65370.59437229766,17449.092082564905,14886.952034830589,1.1892190121867692e-06
14,65278.334988138304,17474.150236511265,15302.932556646707,1.138556803327665e-06
15,65194.15480226131,17497.09146716635,15687.42138728637,1.0924882367783174e-06
16,65116.98699129249,17518.157865071964,16044.414819739763,1.0504038031873038e-06
17,65045.94659936649,17537.557578762382,16377.24116605876,1.0117979432887578e-06
18,64980.29320404768,17555.47020494074,16688.69611703173,9.762477178156072e-07
19,64919.40243981469,17572.0512846291,16981.146281064328,9.4339653471365e-07
